time,callsign,lat,lon,velocity,heading,vertrate,baroaltitude,label
2019-12-23 00:00:00,ART9771 ,49.48285675048828,21.27032631321957,237.02115358241986,339.48039318579356,0.16255999999999998,11590.02,virage
2019-12-23 00:00:20,ART9771 ,49.52376026218221,21.246890506228887,236.6900881760086,339.5168315911705,0.0,11590.02,virage
2019-12-23 00:00:40,ART9771 ,49.563632253873145,21.223989950644004,235.96738251561356,339.4512424035794,0.16255999999999998,11590.02,virage
2019-12-23 00:01:00,ART9771 ,49.60297859321206,21.201383392637858,234.82341767519867,339.48066027050083,0.16255999999999998,11597.64,virage
2019-12-23 00:01:20,ART9771 ,49.64234161376953,21.178641068307975,234.19153774980975,339.3555923411999,-0.32511999999999996,11593.83,virage
2019-12-23 00:01:40,ART9771 ,49.681667392536745,21.155784465849486,233.71019860569635,339.3111267358685,0.0,11590.02,virage
2019-12-23 00:02:00,ART9771 ,49.72131864903337,21.132712004703613,233.1379384858568,339.3255752391261,-0.32511999999999996,11586.21,virage
2019-12-23 00:02:20,ART9771 ,49.76001286910751,21.110192376214105,233.1379384858568,339.3255752391261,-0.32511999999999996,11578.59,virage
2019-12-23 00:02:40,ART9771 ,49.798828125,21.087570190429688,232.89731658844534,339.30321067849786,0.0,11574.78,virage
2019-12-23 00:03:00,ART9771 ,49.838220628641416,21.06457684491132,233.1379384858568,339.3255752391261,0.0,11574.78,virage
2019-12-23 00:03:20,ART9771 ,49.87750101897676,21.041678242798717,232.8067511085544,339.3624004491431,0.32511999999999996,11574.78,virage
2019-12-23 00:03:40,ART9771 ,49.91669257212493,21.018789408047542,232.65669469103386,339.2808461178696,0.0,11578.59,virage
2019-12-23 00:04:00,ART9771 ,49.95599779032044,20.995652482316302,233.07962943721998,339.18491085554456,0.0,11574.78,virage
2019-12-23 00:04:20,ART9771 ,49.9947509765625,20.97275192673142,233.02268961996066,339.0442232693678,0.0,11578.59,virage
2019-12-23 00:04:40,ART9771 ,50.03399606478417,20.949480211412585,233.4116211162739,339.1483748242799,0.0,11578.59,virage
2019-12-23 00:05:00,ART9771 ,50.07289045948093,20.9265796558277,233.61932378031486,339.37012005387385,0.0,11582.4,virage
2019-12-23 00:05:20,ART9771 ,50.11180114746094,20.90376602975946,233.71019860569635,339.3111267358685,0.0,11582.4,virage
2019-12-23 00:05:40,ART9771 ,50.15126192771782,20.88053826756701,233.80107343107787,339.2521334178632,0.0,11582.4,virage
2019-12-23 00:06:00,ART9771 ,50.19050468832759,20.85735836544552,233.56056827668223,339.22975671043014,0.0,11582.4,virage
2019-12-23 00:06:20,ART9771 ,50.23003568487652,20.833919628246413,233.74349604521132,339.111850110909,0.16255999999999998,11586.21,virage
2019-12-23 00:06:40,ART9771 ,50.26890563964844,20.810846190364398,233.3200631222866,339.2073800029971,0.16255999999999998,11590.02,virage
2019-12-23 00:07:00,ART9771 ,50.30793232028766,20.7877405201897,233.3200631222866,339.2073800029971,-0.16255999999999998,11590.02,virage
2019-12-23 00:07:20,ART9771 ,50.34678055068194,20.764754011824323,233.2290008040717,339.26647762106165,-0.16255999999999998,11586.21,virage
2019-12-23 00:07:40,ART9771 ,50.38594184487553,20.741459831574225,233.02268961996066,339.0442232693678,-0.16255999999999998,11582.4,virage
2019-12-23 00:08:00,ART9771 ,50.42503835387149,20.71802500131968,233.68728411932884,338.97154473228886,-0.32511999999999996,11578.59,virage
2019-12-23 00:08:20,ART9771 ,50.46438896049887,20.694369428697048,234.16754011007671,339.0167120935763,0.0,11574.78,virage
2019-12-23 00:08:40,ART9771 ,50.503905215505824,20.670563438708545,234.2598963040869,338.9579953099736,0.16255999999999998,11582.4,virage
2019-12-23 00:09:00,ART9771 ,50.542877197265625,20.647032888312083,234.16754011007671,339.0167120935763,0.16255999999999998,11586.21,virage
2019-12-23 00:09:20,ART9771 ,50.58212538896981,20.62330503721495,234.35225249809707,338.89927852637095,0.0,11590.02,virage
2019-12-23 00:09:40,ART9771 ,50.62124633789063,20.599618209035768,234.35225249809707,338.89927852637095,0.16255999999999998,11590.02,virage
2019-12-23 00:10:00,ART9771 ,50.660490650241655,20.575809288838848,234.2598963040869,338.9579953099736,0.0,11590.02,virage
2019-12-23 00:10:20,ART9771 ,50.699981689453125,20.551968136349238,233.44722903514057,338.94886805018734,0.0,11590.02,virage
2019-12-23 00:10:40,ART9771 ,50.73865728863214,20.528488159179688,233.2071739509523,338.9261913680859,-0.32511999999999996,11590.02,virage
2019-12-23 00:11:00,ART9771 ,50.77764129638672,20.50471950221706,232.7272105074304,338.88065090682085,0.0,11586.21,virage
2019-12-23 00:11:20,ART9771 ,50.816837504758674,20.4809147602803,232.39487005133026,338.9169063003123,0.0,11586.21,virage
2019-12-23 00:11:40,ART9771 ,50.855456853317,20.45734405517578,232.00756106964917,338.8119632610974,0.0,11582.4,virage
2019-12-23 00:12:00,ART9771 ,50.89447538731462,20.433485701277448,231.7677274408687,338.7890042759478,-0.16255999999999998,11582.4,virage
2019-12-23 00:12:20,ART9771 ,50.93309783935547,20.40977684227196,231.7677274408687,338.7890042759478,-0.16255999999999998,11578.59,virage
2019-12-23 00:12:40,ART9771 ,50.97172649836136,20.3859535423485,231.71478529269208,338.6473802358556,0.0,11574.78,virage
2019-12-23 00:13:00,ART9771 ,51.01066589355469,20.361785888671875,231.86103916115658,338.7297713803341,0.0,11574.78,virage
2019-12-23 00:13:20,ART9771 ,51.04973602294922,20.337771853885137,231.7677274408687,338.7890042759478,0.0,11582.4,virage
